,0,1,2,3
0,0,1,3.385162353515625,0
1,0,19,7.085795640945435,1
2,0,19,6.985083818435669,1
3,0,19,6.984728574752808,1
4,0,19,6.783966541290283,1
5,0,19,6.583233118057251,1
6,0,19,6.38260817527771,1
7,0,19,6.181666851043701,1
8,0,19,6.081181049346924,1
9,0,19,5.980661392211914,1
10,0,19,5.679955005645752,1
11,0,19,5.47857928276062,1
12,0,19,5.477915287017822,1
13,0,19,5.377475261688232,1
14,0,19,5.076787948608398,1
15,0,19,4.776047229766846,1
16,0,19,4.3751678466796875,1
17,0,19,4.174514055252075,1
18,0,19,4.174170970916748,1
19,0,19,4.17393159866333,1
20,2,26,10.046325445175171,2
21,2,26,9.44550085067749,2
22,2,26,9.344597101211548,2
23,2,26,9.144009351730347,2
24,2,26,9.04349946975708,2
25,2,26,8.842835664749146,2
26,2,26,8.34151840209961,2
27,2,26,8.140863418579102,2
28,2,26,7.840156078338623,2
29,2,26,7.839725971221924,2
30,2,26,7.739368438720703,2
31,2,26,7.43867301940918,2
32,2,26,7.3380653858184814,2
33,2,26,6.9375035762786865,2
34,2,26,6.836877107620239,2
35,2,26,6.6362340450286865,2
36,2,26,6.235354661941528,2
37,2,26,6.234638690948486,2
38,2,26,5.633746385574341,2
39,2,26,5.232862710952759,2
40,2,26,5.132259130477905,2
41,2,26,4.931624889373779,2
42,2,26,4.730792045593262,2
43,2,26,4.730334758758545,2
44,2,26,4.629955053329468,2
45,2,26,4.429212331771851,2
46,3,34,11.391690015792847,3
47,3,34,10.99088191986084,3
48,3,34,10.890315771102905,3
49,3,34,10.58962869644165,3
50,3,34,10.58922529220581,3
51,3,34,10.28868317604065,3
52,3,34,9.987900257110596,3
53,3,34,9.787234783172607,3
54,3,34,9.38642144203186,3
55,3,34,9.185731172561646,3
56,3,34,8.985113143920898,3
57,3,34,8.884191036224365,3
58,3,34,8.783607006072998,3
59,3,34,8.582982063293457,3
60,3,34,8.082093715667725,3
61,3,34,7.881392240524292,3
62,3,34,7.580719232559204,3
63,3,34,7.580315828323364,3
64,3,34,7.4799864292144775,3
65,3,34,7.379056453704834,3
66,3,34,7.278487920761108,3
67,3,34,6.9777491092681885,3
68,3,34,6.576875686645508,3
69,3,34,6.476274490356445,3
70,3,34,6.175561189651489,3
71,3,34,5.774689197540283,3
72,3,34,5.574061155319214,3
73,3,34,5.473553895950317,3
74,3,34,5.2729339599609375,3
75,3,34,4.872088432312012,3
76,3,34,4.671358585357666,3
77,3,34,4.470688581466675,3
