,configuration,time_taken
19,meta-llama/Llama-3.1-8B 8 100 4.0,"['[15.30647611618042]', '[15.840115070343018]', '[15.0502347946167]']"
20,meta-llama/Llama-3.1-8B 8 100 8.0,"['[25.264488220214844]', '[25.237506866455078]', '[23.64965295791626]']"
21,meta-llama/Llama-3.1-8B 8 250 16.0,"['[21.286513805389404]', '[21.56757688522339]', '[20.72723150253296]']"
22,meta-llama/Llama-3.1-8B 8 250 4.0,"['[38.53788924217224]', '[39.86296486854553]', '[37.901975870132446]']"
23,meta-llama/Llama-3.1-8B 8 250 8.0,"['[63.35708045959473]', '[63.649014949798584]', '[59.8207323551178]']"
24,meta-llama/Llama-3.1-8B 8 500 16.0,"['[43.59524202346802]', '[44.249561071395874]', '[42.56276249885559]']"
25,meta-llama/Llama-3.1-8B 8 500 4.0,"['[78.68668484687805]', '[80.79421257972717]', '[77.14003324508667]']"
26,meta-llama/Llama-3.1-8B 8 500 8.0,"['[128.06106114387512]', '[127.36003136634827]', '[120.51479578018188]']"
27,meta-llama/Llama-3.2-1B 1 100 16.0,"['[3.495753765106201, 3.3338992595672607, 3.3720712661743164, 3.3617820739746094, 3.351564645767212, 3.2983407974243164, 3.3765883445739746, 0.13990068435668945]', '[3.432206869125366, 0.1893453598022461, 3.4897677898406982, 3.441366195678711, 3.4787886142730713, 3.469489574432373, 3.3725168704986572, 3.4489195346832275]', '[3.226813793182373, 3.293346881866455, 0.779918909072876, 3.2602550983428955, 3.29335618019104, 0.20398855209350586, 3.3157224655151367, 3.2591640949249268]']"
28,meta-llama/Llama-3.2-1B 1 100 4.0,"['[4.324340581893921, 4.322493314743042, 4.303009748458862, 4.286520004272461, 4.32495641708374, 4.335156679153442, 4.286595106124878, 4.151651620864868]', '[4.447586297988892, 1.2918002605438232, 4.02586030960083, 4.41547155380249, 4.420044422149658, 4.45654559135437, 4.438527584075928, 4.4089250564575195]', '[0.5707597732543945, 4.1860857009887695, 4.132764101028442, 4.15683126449585, 4.261878252029419, 4.173628091812134, 4.236147165298462, 4.202868700027466]']"
29,meta-llama/Llama-3.2-1B 1 100 8.0,"['[9.647144317626953, 9.86670994758606, 9.727922677993774, 9.597941160202026, 9.497316598892212, 10.036268472671509, 9.675205707550049, 10.045428991317749]', '[9.670689344406128, 9.578357458114624, 9.713812351226807, 5.485676050186157, 9.641851425170898, 9.739774703979492, 4.88587212562561, 9.413079500198364]', '[9.144707679748535, 9.328942060470581, 9.255861759185791, 8.987091064453125, 9.203280925750732, 3.2284395694732666, 9.125662088394165, 9.320994853973389]']"
30,meta-llama/Llama-3.2-1B 1 250 16.0,"['[8.472888231277466, 8.415457487106323, 1.5357673168182373, 8.359435796737671, 8.428660154342651, 5.129773378372192, 8.462316274642944, 2.055222988128662]', '[6.479285717010498, 0.743427038192749, 8.67665433883667, 8.71643328666687, 5.011494874954224, 8.639282703399658, 2.8905887603759766, 8.643893957138062]', '[8.224749088287354, 3.0305492877960205, 8.195638179779053, 8.234491348266602, 8.23408842086792, 8.222651481628418, 6.0338523387908936, 8.237248420715332]']"
31,meta-llama/Llama-3.2-1B 1 250 4.0,"['[5.697578430175781, 10.555798768997192, 2.335641384124756, 10.487703800201416, 3.0654664039611816, 10.465724229812622, 10.57440996170044, 10.686941146850586]', '[11.11648178100586, 11.087114095687866, 11.11639142036438, 11.08124589920044, 11.161100387573242, 11.094074249267578, 8.756372213363647, 11.143522024154663]', '[10.42934250831604, 10.426891565322876, 10.474022150039673, 2.614274263381958, 10.405143022537231, 10.31311583518982, 3.5536186695098877, 5.411812782287598]']"
32,meta-llama/Llama-3.2-1B 1 250 8.0,"['[23.74529242515564, 25.727926015853882, 7.270235776901245, 23.88922429084778, 24.7419753074646, 24.771047115325928, 24.402881145477295, 24.40462875366211]', '[23.650434255599976, 25.260993003845215, 17.046447038650513, 23.867748737335205, 11.293367147445679, 7.632605314254761, 19.057222604751587, 7.6510138511657715]', '[17.092078685760498, 22.888460397720337, 18.110571146011353, 23.877108812332153, 23.165062427520752, 12.599345207214355, 23.17146873474121, 2.130315065383911]']"
33,meta-llama/Llama-3.2-1B 1 500 16.0,"['[7.507453918457031, 13.367178678512573, 10.513306617736816, 0.15090107917785645, 17.26880407333374, 7.360875606536865, 5.093036413192749, 5.751319646835327]', '[0.9901118278503418, 4.941117286682129, 0.18645668029785156, 17.362804889678955, 17.401848316192627, 1.9734432697296143, 17.342504024505615, 17.375362396240234]', '[16.3982937335968, 2.6012206077575684, 8.444719552993774, 16.416069507598877, 16.431628227233887, 16.528738975524902, 2.1354544162750244, 16.44061517715454]']"
34,meta-llama/Llama-3.2-1B 1 500 4.0,"['[22.346034288406372, 22.644294023513794, 22.46467661857605, 22.259336471557617, 12.582203149795532, 3.877800464630127, 22.323630332946777, 22.340532302856445]', '[2.1974594593048096, 22.021807193756104, 10.408347368240356, 22.18238139152527, 22.146087884902954, 21.90140962600708, 6.26036524772644, 22.045082569122314]', '[20.74928617477417, 20.921399354934692, 3.6409361362457275, 20.703154802322388, 20.63424253463745, 20.561427354812622, 10.216540336608887, 20.643938064575195]']"
35,meta-llama/Llama-3.2-1B 1 500 8.0,"['[48.76741552352905, 5.188462972640991, 23.85515546798706, 8.468328952789307, 48.503507137298584, 10.797548770904541, 49.61110258102417, 0.6272523403167725]', '[18.165786504745483, 50.823790073394775, 49.31549429893494, 48.70937418937683, 49.6198308467865, 48.984256744384766, 50.46750521659851, 48.165801763534546]', '[29.374778270721436, 15.479057550430298, 11.318170070648193, 39.395108461380005, 2.4924869537353516, 0.5008347034454346, 2.1910972595214844, 0.5017192363739014]']"
